Tanggal,Username,Komentar,Polarity
2023-01-24T10:20:43Z,VIVA.CO.ID,"Berita Terkait:<br>Rektor Unhas Sebut IKN Harga Mati bagi Indonesia Timur - <a href=""http://bit.ly/3DcgE98"">http://bit.ly/3DcgE98</a>",Positif
2023-03-05T12:51:37Z,EKO,@Karis Riadi TERIMA KASIH PAK ANIES BASWEDAN<br>LANJUT JADI PRESIDEN RI TAHUN 2024 YAA..<br>SEBARKAAN...!!!!!!!!!!,Negatif
2023-03-05T09:06:18Z,Karis Riadi,@EKO masih waraskah anda...<br>?,Negatif
2023-02-26T01:25:56Z,Alexander 21mntab,@Dwiwarna kalau Ahox yang maju lo dukung ya,Netral
2023-02-19T01:26:42Z,EKO,TERIMA KASIH PAK ANIES BASWEDAN<br>LANJUT JADI PRESIDEN RI TAHUN 2024 YAA..<br>SEBARKAAN...!!!!!!!!!!,Negatif
2023-02-19T01:26:37Z,EKO,TERIMA KASIH PAK ANIES BASWEDAN<br>LANJUT JADI PRESIDEN RI TAHUN 2024 YAA..<br>SEBARKAAN...!!!!!!!!!!,Negatif
2023-03-25T02:23:13Z,Zaki Rahman Fitriansya,Pindah Papua aja biar di Papua berkembang :),Netral
2023-03-24T15:23:33Z,Krisma Wanti,Luar biasa,Netral
2023-03-24T12:05:22Z,twinPASS CHANNEL,😮,Netral
2023-03-23T15:10:13Z,Hanz Bazawa1987,"yg akan mnghambat pembanfunan IKN adlh para elit politik yg berkepentingan.. tp smg saja warga dayak terus mengawal pembangunan IKN ini, dan nantinya warga dayak dan indonesia akan maju secara utuh..",Positif
2023-03-23T06:10:55Z,Supri Yadi,Ada masjid....!<br>Ada gedung gereja nggak..?<br>Ada vihara nggak ..?<br>Ada pura nggak..?<br>Ada klenteng nggak...?<br>Dll..,Negatif
2023-03-21T13:10:19Z,Sunarsih Pakde,Utk nanti jika ikn ini sdh jadi saya minta tlg buatkan jln yg ada nama Bpk jokowi (jln jokowi) pasar(pasar jokowi) tempat(pantai jokowi) stadion. Jokowi dan nama Bpk jokowi utk kenangan kelak anakanak cucu kita agar kelak bila bisa jadi presiden RI suoaya bisa mengenang teori kerja Bpk jokowi utk kemajuan bangsa Indonesia tanpa ada embelembel korupsi insya Alloh Indonesia maju jaya terus amin,Positif
2023-03-21T10:11:01Z,Sadri Ansyah,Jgn sampai ada yg korup. . Biar dana yg terkucur tepat sasaran. .,Positif
2023-03-20T06:34:38Z,Baronisti,semoga tidak dimanfaatkan koruptor<br><br>jika ada koruptor proyek ini harus di hukum mati,Positif
2023-03-20T01:32:22Z,Firdaus Putra Santoso,saya harap kualitas jalan dan trotoar sepeti di negara&quot,Positif
2023-03-19T15:56:10Z,Wira Taruna,Jojowi pensiun jadi Presiden baru IKN terbaru baru selesai dibangun,Negatif
2023-03-18T02:16:47Z,Gandjar Dewa Artha Artha,"Ayo, masyarakat Kalimantan jaga terus IKN agar menjadi Harum dan kiblat dunia",Positif
2023-03-16T12:44:21Z,ʏᴀᴛꜱᴜᴍᴇ ᴏᴜɢᴀ ᴠɪɪɪ,Bismillah lancar...,Positif
2023-03-15T10:44:54Z,khafitttttt#11,kalo kebanyakan jalan raya sama aja bohong gak sih banyak polusi walaupun dihutan mending ganti kereta karena gw gak tahu apa² jadi ya sudah,Negatif
2023-03-15T06:31:12Z,zelensky_ngalam,untuk pelatihan tenaga kontruksi di jawa kapan pak .,Netral
