Term,IDF
aaman,"7,759255271"
aamiin,"4,203907209"
abud,"7,353790163"
ada,"5,619189107"
adab,"6,149817358"
adabelum,"7,353790163"
adat,"7,06610809"
adil,"6,37296091"
adu,"7,353790163"
agama,"5,813345122"
agustus,"6,660642982"
ah,"6,842964539"
ahli,"6,842964539"
air,"5,562030693"
ajah,"6,842964539"
ajar,"6,660642982"
akal,"7,353790163"
akan,"7,353790163"
akhir,"5,562030693"
akhlak,"7,353790163"
akibat,"6,842964539"
akses,"6,842964539"
akur,"7,759255271"
al,"7,353790163"
alah,"7,353790163"
alam,"5,194305913"
alami,"6,842964539"
alamin,"6,842964539"
alas,"7,06610809"
alat,"7,353790163"
alhamdulillah,"5,679813729"
alias,"7,353790163"
alir,"7,353790163"
allah,"4,763522997"
ama,"7,353790163"
aman,"6,255177874"
amanah,"6,660642982"
ambil,"7,06610809"
ambisi,"6,660642982"
ambisius,"7,06610809"
amerika,"6,842964539"
amit,"7,759255271"
amp,"4,926041927"
ampe,"7,353790163"
an,"5,194305913"
anak,"4,814816291"
ancam,"6,842964539"
ancang,"7,759255271"
anda,"7,353790163"
andai,"7,06610809"
aneh,"7,353790163"
angan,"7,353790163"
angel,"7,759255271"
anggap,"7,353790163"
anggar,"5,679813729"
anggota,"7,353790163"
anggur,"7,353790163"
angin,"6,842964539"
anies,"5,05120507"
antar,"6,842964539"
antek,"6,842964539"
anti,"6,37296091"
antisipasi,"6,842964539"
antri,"7,759255271"
apa,"4,045683204"
apaapa,"7,353790163"
apartemen,"7,06610809"
apbn,"5,562030693"
arab,"7,353790163"
arah,"7,353790163"
area,"6,842964539"
aroma,"7,353790163"
art,"7,353790163"
arti,"6,149817358"
asa,"7,06610809"
asai,"7,353790163"
asal,"5,967495801"
asean,"7,353790163"
aset,"6,842964539"
asing,"5,887453094"
asli,"5,619189107"
asn,"6,842964539"
aspal,"7,353790163"
asri,"7,06610809"
asyik,"7,353790163"
atap,"7,353790163"
atas,"5,887453094"
atau,"7,353790163"
atur,"6,149817358"
awal,"5,274348621"
awam,"7,353790163"
awas,"6,37296091"
awat,"7,759255271"
awo,"7,759255271"
ayam,"7,353790163"
ayem,"7,759255271"
ayo,"6,149817358"
aziz,"7,353790163"
babat,"7,353790163"
baca,"6,506492302"
bacot,"6,37296091"
bagai,"6,37296091"
bagaimana,"5,156565585"
bagi,"5,813345122"
bagus,"5,156565585"
bahagia,"6,842964539"
bahan,"6,842964539"
bahasa,"7,06610809"
bahkan,"5,74435225"
bahu,"7,759255271"
baik,"4,501158733"
bakal,"4,58120144"
bakar,"7,353790163"
baku,"7,06610809"
bal,"7,353790163"
balik,"6,506492302"
balikpapan,"6,660642982"
bambang,"6,660642982"
bandara,"6,842964539"
banding,"6,255177874"
bang,"6,37296091"
bangga,"5,233526626"
banggan,"7,353790163"
bangkrut,"7,353790163"
bangsa,"4,738830385"
bangun,"2,81049538"
banjir,"5,967495801"
bank,"7,353790163"
bantu,"6,660642982"
banyak,"4,108597029"
bapak,"3,648381406"
bara,"7,353790163"
barak,"7,353790163"
barang,"7,353790163"
barat,"6,255177874"
baru,"4,057953297"
bas,"7,353790163"
basuki,"6,842964539"
baswedan,"4,986666548"
batak,"7,759255271"
batas,"6,842964539"
batu,"6,660642982"
bau,"7,06610809"
bawa,"6,255177874"
bawah,"5,74435225"
bayang,"7,06610809"
bayangin,"7,06610809"
bayar,"5,507963472"
be,"7,353790163"
beasiswa,"7,353790163"
beban,"6,149817358"
bebas,"6,842964539"
beberapa,"6,37296091"
beda,"6,37296091"
bedeng,"7,06610809"
beg,"7,759255271"
begitu,"7,353790163"
bekas,"7,353790163"
belah,"7,06610809"
belaka,"7,353790163"
belakang,"7,353790163"
beli,"6,37296091"
beliau,"7,06610809"
belitung,"7,759255271"
belum,"7,353790163"
benar,"5,887453094"
bencana,"7,06610809"
benci,"6,506492302"
bendung,"7,353790163"
bener,"6,660642982"
bengkak,"6,37296091"
bengkalai,"6,842964539"
ber,"7,06610809"
berani,"6,660642982"
berapa,"6,37296091"
berat,"6,842964539"
beres,"7,353790163"
beri,"5,120197941"
berita,"6,660642982"
berkah,"6,660642982"
berkat,"7,353790163"
bersih,"6,054507178"
besar,"4,926041927"
besok,"7,353790163"
best,"7,353790163"
beton,"7,06610809"
betul,"5,813345122"
biar,"4,868883513"
biasa,"5,233526626"
biaya,"5,887453094"
bicara,"7,06610809"
bidang,"6,660642982"
bijak,"6,842964539"
bikin,"5,194305913"
bila,"6,255177874"
bilang,"5,887453094"
binatang,"7,353790163"
bintang,"7,759255271"
bisa,"7,353790163"
bismillah,"6,37296091"
bismillahirrahmanirrahim,"7,759255271"
bisnis,"6,842964539"
blas,"7,353790163"
blok,"7,353790163"
blt,"7,06610809"
bnjir,"7,759255271"
bnr,"7,353790163"
bobot,"7,353790163"
bod,"7,06610809"
bodo,"7,06610809"
bodoh,"7,06610809"
bohong,"7,06610809"
bom,"6,842964539"
bondong,"7,759255271"
bongkar,"7,353790163"
borneo,"7,353790163"
boros,"6,842964539"
bos,"6,660642982"
boss,"7,06610809"
bravo,"6,660642982"
bro,"5,456670178"
bsar,"7,353790163"
buah,"6,054507178"
buang,"6,054507178"
buat,"3,74287225"
budak,"7,353790163"
budaya,"6,054507178"
buka,"5,679813729"
bukan,"4,325268066"
bukit,"6,842964539"
bukti,"6,255177874"
bulan,"6,660642982"
bumburo,"7,353790163"
bumi,"6,660642982"
bumn,"6,842964539"
bunga,"7,353790163"
bungkus,"7,353790163"
bunker,"7,353790163"
bunuh,"7,06610809"
bursa,"7,353790163"
buru,"7,06610809"
buruh,"7,353790163"
buruk,"6,660642982"
butuh,"5,74435225"
buzzer,"7,353790163"
cadang,"7,353790163"
cair,"7,353790163"
calon,"6,37296091"
capai,"6,37296091"
capres,"6,842964539"
cara,"5,74435225"
cari,"6,255177874"
carter,"7,353790163"
catat,"7,353790163"
cebong,"6,37296091"
cepat,"4,540379446"
cepet,"6,149817358"
cerdas,"6,054507178"
