text_preprocessed,Polarity
salah suka memang apa info cari malas paham kok up hari tiap bahkan sih bagaimana tol banding dulu lebih baik kan umum jalan lah bumburo,Netral
semua mangkrak sby proyek jangan,Positif
masingmasing kampung simpan ikn bawa sifat budaya minta jangan,Positif
lanjut presiden jebak,Netral
bengkalai ganti moga presiden,Positif
kalimantan lancar moga ikn,Positif
ibadah agama nya gereja kok,Negatif
mantap lancar moga,Positif
bapak dong urus meikarta korban nasib nih kalau nya lanjut presiden ikn bagaimana,Negatif
maju makin wow malam selamat bang assalamualaikum mantap kalimantan,Positif
bangun cepat coba ikn proyek kan,Positif
pupr nyolong iya lah,Netral
siapa bagus baru ibukota bangga indonesia orang hakim memang lebih lah,Positif
bacot kerja tok citra,Negatif
huni mah pakai bandara orang mangkrak,Negatif
pindah biar jokowi bijak sama depan nasional pimpin ibukota lancar moga ikn jalan,Positif
boros proyek,Negatif
laksana benar dukung jokowi bapak mantap moga ikn semua,Positif
aamiin satu,Netral
hutang mikir ngapain uang teh putih nasi goreng ayam beli uwais pakai,Netral
internasional standard rencana kota milik harap indonesia bangun ikn,Positif
jelas politik inti binatang ular keras walaupun lambat tahun amblas tanah jakarta satu nya kalimantan tiap,Negatif
ibu tuju sangat bal masyarakat kota pindah,Positif
kasih terima inovatif sukses kumuh semrawut sumpek bedeng batas kes lama megaproyek tempathunian sedia nusantara dunia wujud tombak ujung mungkin nyaman buat konstruksi layak kota laksana depan huni kerja indonesia bangun maju moga ikn proyek bagaimana,Positif
blt kata akhir kursi janji covid alas bayar naik harga hasil partai pilih buat hutang bangun jangan suka,Negatif
kelar kereta jalur sayang nya,Negatif
toleransi doang sana percaya tempat satu kerja iya ibadah agama memang kok,Negatif
air bawah kota,Netral
hutang,Negatif
buzzer bilang langsung tenggelamudh mau pasti iq pikir hahaha nama lama sangat walaupun jakarta baru ibukota orang iya bangun ikn mangkrak proyek,Negatif
keren wujud cepat moga ikn,Positif
kadrun tuntas periode harus oe hebat biar jokowi,Positif
polos ikut undang choiri pikir iya presiden jangan lah,Negatif
resmi jokowi bapak moga,Positif
sehat tetap indonesia orang maju,Positif
jabat negara buang nyaman uang,Negatif
beres begini jadi sulap takut hutan tadi mantap,Positif
kkkk antitesis pati anti banyak terus milu lihat liar kelapa pilih jelas jokowi sama depan orang iya kalimantan ikn,Negatif
asing pribumi warga niat tempat buat ibu kota memang,Negatif
tonton rapatkita dpr gedung rakyat bantu praksi calon korupsi guna sala tutup klau ruang rapat buka pangung bentuk kayu ter beton tanam tempat partai buat jakarta kerja apa,Negatif
masa projek bodoh jaya cuan penting om calon jadi depan mah indonesia lancar mangkrak lah,Negatif
suara mana yohanes,Netral
luhut pajak gas hihihi gelap tinggal mundur nyari investor cuan banyak nya moga dulu,Negatif
bangsa banggan srpakbola wajib sepakbola stadion ibukota iya bangun kalau ikn lebih baik,Positif
balik negeri ekonomi rakyat bangun makin moga ikn jangan baik,Positif
pu menteri jokowi selamat,Positif
rusia perang jadi mau indonesia,Netral
candi awas jadi baru mangkrak,Negatif
kawasan dampak ada kalah hewan tambah manusia populasi hutan ibu kota baru kalimantan semua,Negatif
kejang jakarta ibukota,Netral
