feature_name,idf_weights
aamiin,4.144152278672264
abai,7.0063531596017325
abal,7.699500340161678
abud,7.294035232053513
ada,5.7535901911063645
adab,5.994752247923253
adat,7.0063531596017325
adil,6.195422943385404
adu,7.294035232053513
agama,5.827698163260086
agustus,6.600888051493568
ah,6.783209608287523
ahli,6.600888051493568
air,5.396915247167632
ajar,7.0063531596017325
akal,7.294035232053513
akhir,5.7535901911063645
akibat,6.783209608287523
akses,6.783209608287523
akur,7.699500340161678
al,7.294035232053513
alah,7.294035232053513
alam,5.096810654717294
alamin,6.783209608287523
alas,7.294035232053513
alat,6.783209608287523
alfarisi,7.294035232053513
alhamdulillah,5.214593690373678
alias,7.0063531596017325
alir,7.294035232053513
allah,4.521446509813732
aman,5.994752247923253
amanah,6.313205979041787
ambil,7.0063531596017325
ambisi,6.783209608287523
ambisius,7.294035232053513
amblas,6.783209608287523
amerika,6.783209608287523
amit,7.699500340161678
an,5.3481250829982
anak,4.703768066607687
ancam,6.783209608287523
andai,7.0063531596017325
aneh,7.0063531596017325
angan,7.294035232053513
angel,7.699500340161678
anggap,7.0063531596017325
anggar,5.684597319619413
anggota,7.294035232053513
anggur,6.44673737166631
angin,6.783209608287523
angkut,7.294035232053513
anies,5.060443010546419
antar,6.783209608287523
antek,7.0063531596017325
anti,6.313205979041787
antisipasi,6.783209608287523
antitesis,7.294035232053513
antri,7.294035232053513
anus,7.294035232053513
apa,4.061914180435292
apaapa,7.294035232053513
apartemen,7.294035232053513
apbn,5.620058798481842
api,7.0063531596017325
arab,7.294035232053513
area,6.600888051493568
art,7.294035232053513
arti,5.994752247923253
asa,7.294035232053513
asai,7.294035232053513
asal,6.090062427727577
aset,7.0063531596017325
asing,5.502275762825459
asli,5.502275762825459
asn,6.783209608287523
aspal,7.294035232053513
asri,6.783209608287523
assalamualaikum,7.294035232053513
asyik,7.294035232053513
atap,7.0063531596017325
atas,5.7535901911063645
atur,5.827698163260086
awal,5.257153304792474
awam,7.294035232053513
awas,5.907740870933623
awat,7.294035232053513
awo,7.699500340161678
ayam,7.294035232053513
ayem,7.699500340161678
ayo,5.7535901911063645
aziz,7.294035232053513
babat,6.783209608287523
baca,6.600888051493568
bacot,6.783209608287523
bagai,6.195422943385404
bagaimana,4.991450139059468
bagi,6.090062427727577
bagus,5.096810654717294
bah,7.699500340161678
bahagia,6.783209608287523
bahan,6.783209608287523
bahasa,7.294035232053513
bahkan,5.7535901911063645
bahu,7.699500340161678
baik,4.441403802140195
bakar,6.783209608287523
baku,7.0063531596017325
bal,7.294035232053513
balik,6.44673737166631
balikpapan,6.313205979041787
bandara,6.783209608287523
banding,6.44673737166631
bang,5.994752247923253
bangga,5.060443010546419
banggan,7.0063531596017325
bangkit,7.294035232053513
bangkrut,7.0063531596017325
bangsa,4.729085874591977
bangun,2.6989153819189236
banjir,5.559434176665407
bantu,6.195422943385404
banyak,3.9981983660491847
bapak,3.6135240276100937
bara,7.0063531596017325
barak,7.294035232053513
barang,7.294035232053513
barat,6.313205979041787
barokah,7.294035232053513
baru,3.9738069129250255
bas,7.294035232053513
basuki,7.0063531596017325
baswedan,4.958660316236477
batak,7.699500340161678
batas,6.195422943385404
batu,6.44673737166631
batubara,7.294035232053513
bau,7.0063531596017325
bawa,6.44673737166631
bawah,5.620058798481842
bayang,6.600888051493568
bayangin,7.294035232053513
bayar,5.214593690373678
be,7.294035232053513
beban,5.994752247923253
bebas,6.195422943385404
beberapa,6.600888051493568
beda,6.600888051493568
bedeng,6.600888051493568
beg,7.699500340161678
begini,6.090062427727577
begitu,7.0063531596017325
bekas,7.0063531596017325
belaka,7.294035232053513
belakang,7.0063531596017325
beli,6.313205979041787
belitung,7.699500340161678
belum,7.0063531596017325
benar,5.301605067363307
bencana,7.0063531596017325
benci,6.600888051493568
bendung,7.294035232053513
bener,6.600888051493568
beneran,7.294035232053513
benerin,7.699500340161678
bengkak,6.44673737166631
bengkalai,6.783209608287523
bentuk,7.0063531596017325
ber,7.294035232053513
berani,6.783209608287523
berapa,6.600888051493568
berat,6.600888051493568
beres,7.294035232053513
beri,4.866286996105462
berita,6.44673737166631
berkah,6.44673737166631
berkat,7.294035232053513
bersih,5.994752247923253
besar,4.755061360995238
besi,7.294035232053513
besok,7.294035232053513
best,7.294035232053513
betah,7.294035232053513
betawi,7.294035232053513
beton,7.294035232053513
betul,5.620058798481842
biar,4.585985030951303
biasa,5.173771695853422
biaya,5.7535901911063645
bicara,7.0063531596017325
bidang,6.600888051493568
bijak,6.44673737166631
bikin,4.866286996105462
bila,6.195422943385404
bilang,5.559434176665407
binatang,7.0063531596017325
bintang,7.699500340161678
bisa,6.783209608287523
bismillah,6.090062427727577
bismillahirrahmanirrahim,7.699500340161678
bisnis,6.44673737166631
blas,7.294035232053513
blok,7.294035232053513
blt,6.783209608287523
bobot,7.294035232053513
bod,7.294035232053513
bodo,7.294035232053513
bodoh,6.600888051493568
bohong,6.783209608287523
bom,7.0063531596017325
bondong,7.699500340161678
borneo,7.294035232053513
boros,6.783209608287523
bos,6.195422943385404
boss,7.0063531596017325
bravo,6.600888051493568
bro,5.559434176665407
btw,7.294035232053513
buah,6.600888051493568
buang,5.7535901911063645
buat,3.630473585923867
budak,7.294035232053513
budaya,5.994752247923253
buka,5.684597319619413
bukan,4.422355607169502
bukit,6.783209608287523
bukti,6.783209608287523
bulan,6.783209608287523
bumburo,7.294035232053513
bumi,6.313205979041787
bumn,6.783209608287523
bunga,7.0063531596017325
bungkus,7.294035232053513
bunker,7.294035232053513
bunuh,7.0063531596017325
bursa,7.294035232053513
buru,6.783209608287523
buruk,6.600888051493568
burung,7.294035232053513
butuh,5.684597319619413
buzzer,7.294035232053513
cadang,7.294035232053513
calon,6.090062427727577
candi,7.294035232053513
canggih,7.294035232053513
capai,6.313205979041787
capek,7.294035232053513
capres,7.294035232053513
cara,5.7535901911063645
cari,6.44673737166631
carter,7.294035232053513
catat,7.294035232053513
cebong,6.600888051493568
cepat,4.202992778695197
cerdas,5.994752247923253
cerita,7.294035232053513
china,5.620058798481842
choiri,6.783209608287523
cicit,7.0063531596017325
cin,7.699500340161678
cina,6.195422943385404
cinta,6.783209608287523
cipta,7.294035232053513
cita,7.0063531596017325
citra,7.0063531596017325
coba,5.907740870933623
cocok,7.0063531596017325
com,7.699500340161678
concern,7.294035232053513
contoh,5.907740870933623
covid,7.0063531596017325
coy,7.294035232053513
cuan,7.0063531596017325
cuci,7.294035232053513
cucu,5.3481250829982
cukup,6.783209608287523
cundang,7.294035232053513
curiga,6.600888051493568
daerah,5.684597319619413
daftar,7.0063531596017325
dagang,6.783209608287523
dah,7.294035232053513
dahulu,7.0063531596017325
dalam,6.44673737166631
damai,6.783209608287523
dampak,6.195422943385404
dan,7.0063531596017325
dana,5.396915247167632
dapat,6.313205979041787
dar,6.44673737166631
darat,7.0063531596017325
darurat,7.294035232053513
dasar,7.0063531596017325
datang,5.502275762825459
datar,6.44673737166631
daya,6.600888051493568
dayak,6.600888051493568
deal,7.294035232053513
defisit,7.0063531596017325
deh,6.195422943385404
dekat,6.195422943385404
demo,5.994752247923253
dengar,6.313205979041787
depan,4.608457886803362
derita,6.600888051493568
desa,7.0063531596017325
desain,6.783209608287523
didik,6.44673737166631
digundulin,7.294035232053513
dijakarta,7.294035232053513
dikalimantan,7.0063531596017325
dilanjutin,7.294035232053513
dinas,7.294035232053513
dipake,7.294035232053513
diri,6.090062427727577
disiapin,7.294035232053513
dki,6.600888051493568
doa,5.827698163260086
doang,5.502275762825459
dollar,7.294035232053513
dominasi,7.294035232053513
dong,5.3481250829982
dongo,7.294035232053513
dpr,5.827698163260086
drainase,7.294035232053513
drastis,7.294035232053513
drun,6.783209608287523
dua,7.294035232053513
dubai,7.0063531596017325
duduk,5.684597319619413
duit,5.214593690373678
dukung,4.926911617921897
dulu,4.837299459232209
duluan,7.0063531596017325
dumay,7.294035232053513
dunia,5.02535169073515
efek,7.294035232053513
eh,6.44673737166631
ekonomi,5.301605067363307
ekosistem,7.294035232053513
eksekusi,7.294035232053513
ekspor,7.699500340161678
