Singkatan,Ekspansi
adlh,adalah
aja,saja
akn,akan
aku,saya
aq,saya
ak,saya
ane,saya
ana,saya
gue,saya
sy,saya
gua,saya
gw,saya
amien,aamiin
amin,aamiin
and,dan
elu,anda
qm,anda
kmu,anda
kamu,anda
lo,anda
elo,anda
ente,anda
loe,anda
lu,anda
km,anda
abis,habis
abs,habis
hbs,habis
hbis,habis
ap,apa
aps,apa
bag,bagian
banget,sangat
bgt,sangat
beud,sangat
bet,sangat
sgt,sangat
bgmn,bagaimana
gimana,bagaimana
gmn,bagaimana
bgmna,bagaimana
gimane,bagaimana
bkan,bukan
bkn,bukan
bl,bila
blg,bilang
blh,boleh
blm,belum
blom,belum
blum,belum
bpak,bapak
bp,bapak
pk,bapak
pak,bapak
pak,bapak
bpk,bapak
bs,bisa
bisa,bisa
bsk,besok
bsok,besok
cb,coba
cba,coba
cm,hanya
cma,hanya
cuma,hanya
cuman,hanya
cmn,hanya
d,di
dg,dengan
dgn,dengan
dng,dengan
dll,dan lain-lain
dlm,dalam
dn,dan
dpt,dapat
dpat,dapat
dr,dari
dri,dari
drpd,daripada
dripada,daripada
dsar,dasar
dsr,dasar
dy,dia
dya,dia
ia,dia
enggak,tidak
g,tidak
ga,tidak
gak,tidak
engga,tidak
tak,tidak
gk,tidak
enda,tidak
nda,tidak
endak,tidak
ndk,tidak
ndak,tidak
tdk,tidak
nga,tidak
ngk,tidak
nggak,tidak
gitu,begitu
gt,begitu
gtw,tidak tahu
gtau,tidak tahu
gub,gubernur
hny,hanya
hrs,harus
hrus,harus
insallah,insyaa allah
insyaallah,insyaa allah
insyallah,insyaa allah
insaallah,insyaa allah
iye,iya
y,iya
iy,iya
yak,iya
jawir,jawa
jw,jawa
jd,jadi
jdi,jadi
jg,juga
jga,juga
jua,juga
jng,jangan
jgn,jangan
jlan,jalan
jln,jalan
krn,karena
krna,karena
krena,karena
kyk,seperti
kek,seperti
kya,seperti
ky,seperti
aamiinn,aamiin
aamiin yra,aamiin
alloh,allah
komen,komentar
amiin,aamiin
dsb,dan sebagainya
aseng,asing
jt,juta
jlan,jalan
jls,jelas
klu,kalau
klo,kalau
kl,kalau
klw,kalau
jk,jika
jl,jalan
jlas,jelas
kalo,kalau
