Text,Label
tetangga bangun rumah lantai hutang warung lunas,Netral
ikn jadi hutang negara tumpuk,Negatif
satu minta kait ikn plizzzz jangan repro desain terus ujung nya pakai desain kw downgrade kualitas macam kasus terminal bandara soetta,Positif
art official bodoh kau ukur hutang tumpuk bunga tahun rang subsidi bbm haraga barang naik masyarakat jerit biaya hidup naik hasil utama buruh paham kau bisnis investor asing me,Negatif
sana,Netral
lihat koment bot kocak,Netral
kalau anies baswedan jadi presiden lanjut ikn mangkrak tahun,Netral
jalaur ka bangun dong jangan sulawesi,Positif
terus bapak jokowi iya kader pdi mesin gerak partai bangun sekarang lanjut lihat ribu bangun rampung kadrun jangan mimpi menang bangun amburadul jakarta gubernur,Netral
wah enak iya perintah bangun rumah bagus bagus enak hasil hutang bayar hutang nya cekik rakyat naikin pajak terus tambah pajak,Negatif
buang duit,Negatif
rusak hutan ambisi,Negatif
jokowi selesai proyek ikn nya selesai lalu mangkrak,Negatif
boss ikn wajib bikin rumah ibadah tiap agama boss jadi satu makin erat boss,Positif
luarbiasa bapak jokowi keren bantu nya ikut luarbiasa,Positif
jokowi lawan tahu diri,Negatif
moga lancar hambat doa baik nkri,Positif
layak huni kerja konstruksi buat nyaman mungkin kerja laksana depan ujung tombak wujud bangun kota dunia ikn nusantara moga depan proyek sedia tempathunian layak kerja bagaimana megaproyek ikn nusantara lama kes huni kerja konstruksi batas bedeng sumpek semrawut kumuh moga megaproyek ikn nusantara sukses inspiratif inovatif indonesia maju terima kasih,Positif
kalau utama paru bumi coba gusur rumah sendiri terus jadiin hutan lumayan buat bukti kalau memang peduli sama hutan kalimantan btw hutan dipake buat bangun rupa area hutan industri memang,Netral
mantap moga lancar,Positif
kok tempat ibadah satu percaya iya memang kerja sana agama doang toleransi,Negatif
kampung,Netral
indah bangun tiang listrik pakai kabel tanam,Positif
moga bangun ikn ibu kota negara baru jalan lancar sukses capai makmur bangsa rupa suatu langkah awal capai indonesia sejahtera cerdas hidup seluruh masyarakat indonesia moga bangun kembang indonesia pusat satu tempat gapai seluruh provinsi indonesia,Positif
geser ibukota negara bangun sebar populasi numpuk jawa,Positif
hebat oe jokowi harus periode biar tuntas kadrun jelek jokowi,Positif
terima kasih indonesia,Positif
betul buat program bagus macam bpjs blt demo lanjut malu gigih demo dulu makin pintar presiden makin banyak demo,Netral
pondasinya bukan tinggi biar anti banjir,Positif
moga proyek ikn nusantara dunia jalan lancar selesai,Positif
jauh mungkin mangkrak sebentar meikarta,Negatif
walaupun pilih perintah sekarang salut proyek hambalang iya moga next presiden mencotohi bangun hambalang,Positif
moga ganti presiden bengkalai,Positif
paling stop tengah jalan kerja tahun tahun anggar lebih pasar gambar sangat mimpi habis perintah jadi rumah hantu padahal naik lanjut,Negatif
vidioin belang citra vidioin bilang angan angan iya bigitu lah suara kadrun niah koar koar,Netral
mampu lanjut bangun ikn jokowi lengser prabowo,Netral
moga mudah kan lancar allah swt amiinn,Positif
selamat pulau kalimantan akhir jawasentris akhir,Positif
minimal cerdas lah paham maksud meski putin sanksi habis babisan tetap kuat lah kalau jokowi apa kuat sama tiongkok takut belit hutang,Negatif
jadi beban buat presiden ikut nya,Negatif
mau sebar hoaks faqir ilmu investor besar ikn justru dubai pangeran mbz korea selatan usaha swasta indonesia,Netral
bangun indonesia maju sekarang anggar yakin perintah pikir matang jangka pendek jangka panjang terima kasih buat bapak jokowi serta perintah indonesia,Positif
kadrun mingkem tau ikn benar jadi bangun,Netral
masyaallah,Positif
mimpi besar ultah ikn kayak mimpi buruk masyarakat atas hutang membludak,Negatif
sia sia jadi kota mati iya,Negatif
ikn tuju indonesia jadi negara maju masa depan,Positif
sayang hutan,Negatif
moga bapak presiden bangun jalur kereta api kalimantan utara kalimantan selatan,Positif
moga bocor,Positif
kok ragu kalau jadi proyek selesai presiden ganti lanjut kayak proyek akhir hambalang kota baru meikarta,Negatif
sulit orang jawa unjuk rasa presiden apa memang tuju,Negatif
sehat selalu bapak presiden,Positif
karya anak bangsa tahun merdeka,Netral
hati,Netral
waras,Netral
sudrun stress lihat ikn jalan baik mau demo mana berani kalimantan paling patung kuda jakarta,Positif
boros,Negatif
iya gigi maju,Netral
sehat selalu presiden ku bapak joko widodo widodo bangkit negara ku indonesia cinta,Positif
betul sekall malah gorombolan banyak pakai jalan tol kuli jalan tol malah jarang pakai jalan tol hidup satu abad salam sehat pdliiknjbr,Negatif
alhamdulillah mulai gundul hutan kalimantan,Negatif
moga sukses bangun ikn indonesia rasa ikut kesana,Positif
habis berapa dana ayo dong angin publik,Netral
salah satu proyek mangkrak,Negatif
alhamdulillah semangat indonesia,Positif
jembatan jalan logistik jalan asli tahap mapping land clearing,Netral
moga cepat realisasi nkri makin segani mata dunia nkri punya ikn kadrun,Positif
mudah mudah lancar bangun nya cepat selesai,Positif
drun drun nyinyir doang bisa ajak maju kaum,Negatif
moga mega proyek ikn sukses indonesia makin baik segala bidang,Positif
mirip barak barak jauh mewah kapok asn pusat,Negatif
anti pilih capres naturalisasi ikn indikasi memangkrakkan ikn tahun,Negatif
moga lancar cepat selesai ikn aamiin yarbal alamin,Positif
bapak presiden jokowi memang hebat kerja nyata bukti indonesia moga bapak presiden sehat selalu lindung allah,Positif
jaya indonesia,Positif
ken dong ikut kerja proyek ikn hubung siapa,Netral
jadi kota hantu nih,Negatif
lihat huni kerja kontraktor proyek jauh panggang api ngomongnya mudah realisasi rumit sulit danainvestor,Negatif
biasa apa apa prasangka buruk dulu memang mau zaman perintah mana orang orang kalau ikn hasil kalian jangan jilat ludah sendiri iya,Netral
istana presiden baru bapak anies baswedan baswedan ibu kota tetap jakarta,Negatif
hijauunya pohon pohon sana lambat laun hilang ganti tumbuh beton,Negatif
silkarnya sempit jalan lewatin pasar,Netral
jembatan kalau fungsi jalan tol apa motor roda pakai padahal awal bangun memang desain semua kendara penting jangan jembatan guna milik roda awal roda lewat,Negatif
rahman pegang undang undang dpr mpr kwkwkw dongo,Netral
jangan mesjid bangun tempat ibadah agama aku negara ikn jadi ikon satu beda yakin sejak bangun dasar,Positif
micenan duit mangkrak,Negatif
moga alam marah,Negatif
tahun datang baru jadi penting iya ekkekee,Netral
moga duit bangun tilep masuk kantong pribadi jadi modal anak nya kuasa nyalon bupati lah gubernur lah mana uang rakyat pakai bukan bangun negara bangun dynasty kuasa keluarga lebih,Positif
banyak kadruun gblokk sini,Negatif
banyak kerja biar cepat selesai tau kalau makin banyak kerja makin banyak uang keluar tapi lebih cepat selesai lebih baik,Positif
panas si,Netral
proyek ikn buang anggar negara malah hutang makin tumpuk hti sama langkah ambil bapak jokowi,Negatif
undang undang bak pikir presiden datang hadeh jebak pikir kaya,Positif
alfarisi amandemen undang undang sih biasa ubah undang undang ikn seperti mungkin banyak cuan sana,Negatif
kasihan lihat ambisi boneka investor sijinpink prank mentah,Negatif
moga bangun ikn ekonomi rakyat negeri makin baik jangan balik,Positif
aziz bro proyek jangka panjang tahun,Netral
moga lancar bangun,Positif
mimpi dahulu nusantara tempat mula moga semua lancar tampa hambat nkri harga mati,Positif
moga lancar jaya selalu indonesia,Positif
betul masalah turun level tanah jakarta bagai butuh biaya sangat besar renovasi jakarta,Netral
jabat lomba korupsi,Negatif
jembatan tolol,Negatif
kira selesai apa,Netral
bismillah mugi lancar barokah aamiin,Positif
bayank kesana ibu kota baru,Netral
satu aamiin,Netral
orang mana makan bro rantau kota balik kampung makanya sawah sama ladang urus tua tua,Netral
hambalang bagaimana hambalang bangun,Negatif
anak cucu nikmat semangat,Positif
investor bukan apbn pernah baca berita asal komentar,Netral
hebat pakde jokowi dukung bangun ikn,Positif
