,Unnamed: 0,Komentar,Polarity,casefolding,cleaned_text,normalized_text,tokenizing,stopword,stemming,text_preprocessed
0,0,"Berita Terkait:<br>Rektor Unhas Sebut IKN Harga Mati bagi Indonesia Timur - <a href=""http://bit.ly/3DcgE98"">http://bit.ly/3DcgE98</a>",Positif,"berita terkait:<br>rektor unhas sebut ikn harga mati bagi indonesia timur - <a href=""http://bit.ly/3dcge98"">http://bit.ly/3dcge98</a>",berita terkait rektor unhas sebut ikn harga mati bagi indonesia timur,berita terkait rektor unhas sebut ikn harga mati bagi indonesia timur,"['berita', 'terkait', 'rektor', 'unhas', 'sebut', 'ikn', 'harga', 'mati', 'bagi', 'indonesia', 'timur']","['berita', 'terkait', 'rektor', 'unhas', 'sebut', 'ikn', 'harga', 'mati', '', 'indonesia', 'timur']","['berita', 'kait', 'rektor', 'unhas', 'sebut', 'ikn', 'harga', 'mati', '', 'indonesia', 'timur']","['berita', 'kait', 'rektor', 'unhas', 'sebut', 'ikn', 'harga', 'mati', 'indonesia', 'timur']"
1,1,@Karis Riadi TERIMA KASIH PAK ANIES BASWEDAN<br>LANJUT JADI PRESIDEN RI TAHUN 2024 YAA..<br>SEBARKAAN...!!!!!!!!!!,Netral,@karis riadi terima kasih pak anies baswedan<br>lanjut jadi presiden ri tahun 2024 yaa..<br>sebarkaan...!!!!!!!!!!,riadi terima kasih pak anies baswedan lanjut jadi presiden ri tahun   yaa   sebarkaan,riadi terima kasih bapak anies baswedan baswedan lanjut jadi presiden ri tahun iya sebarkaan,"['riadi', 'terima', 'kasih', 'bapak', 'anies', 'baswedan', 'baswedan', 'lanjut', 'jadi', 'presiden', 'ri', 'tahun', 'iya', 'sebarkaan']","['riadi', 'terima', 'kasih', 'bapak', 'anies', 'baswedan', 'baswedan', 'lanjut', 'jadi', 'presiden', 'ri', 'tahun', 'iya', 'sebarkaan']","['riadi', 'terima', 'kasih', 'bapak', 'anies', 'baswedan', 'baswedan', 'lanjut', 'jadi', 'presiden', 'ri', 'tahun', 'iya', 'sebarkaan']","['riadi', 'terima', 'kasih', 'bapak', 'anies', 'baswedan', 'baswedan', 'lanjut', 'jadi', 'presiden', 'ri', 'tahun', 'iya', 'sebarkaan']"
2,2,@EKO masih waraskah anda...<br>?,Netral,@eko masih waraskah anda...<br>?,masih waraskah anda,masih waraskah anda,"['masih', 'waraskah', 'anda']","['', 'waraskah', '']","['', 'waras', '']",['waras']
3,3,@Dwiwarna kalau Ahox yang maju lo dukung ya,Netral,@dwiwarna kalau ahox yang maju lo dukung ya,kalau ahox yang maju lo dukung ya,kalau ahox yang maju anda dukung iya,"['kalau', 'ahox', 'yang', 'maju', 'anda', 'dukung', 'iya']","['kalau', 'ahox', '', 'maju', '', 'dukung', 'iya']","['kalau', 'ahox', '', 'maju', '', 'dukung', 'iya']","['kalau', 'ahox', 'maju', 'dukung', 'iya']"
4,6,Pindah Papua aja biar di Papua berkembang :),Negatif,pindah papua aja biar di papua berkembang :),pindah papua aja biar di papua berkembang,pindah papua saja biar di papua berkembang,"['pindah', 'papua', 'saja', 'biar', 'di', 'papua', 'berkembang']","['pindah', 'papua', '', 'biar', '', 'papua', 'berkembang']","['pindah', 'papua', '', 'biar', '', 'papua', 'kembang']","['pindah', 'papua', 'biar', 'papua', 'kembang']"
5,7,Luar biasa,Positif,luar biasa,luar biasa,luar biasa,"['luar', 'biasa']","['luar', 'biasa']","['luar', 'biasa']","['luar', 'biasa']"
6,9,"yg akan mnghambat pembanfunan IKN adlh para elit politik yg berkepentingan.. tp smg saja warga dayak terus mengawal pembangunan IKN ini, dan nantinya warga dayak dan indonesia akan maju secara utuh..",Positif,"yg akan mnghambat pembanfunan ikn adlh para elit politik yg berkepentingan.. tp smg saja warga dayak terus mengawal pembangunan ikn ini, dan nantinya warga dayak dan indonesia akan maju secara utuh..",yg akan mnghambat pembanfunan ikn adlh para elit politik yg berkepentingan   tp smg saja warga dayak terus mengawal pembangunan ikn ini  dan nantinya warga dayak dan indonesia akan maju secara utuh,yang akan menghambat pembangunan ikn adalah para elit politik yang berkepentingan tapi semoga saja warga dayak terus mengawal pembangunan ikn ini dan nantinya warga dayak dan indonesia akan maju secara utuh,"['yang', 'akan', 'menghambat', 'pembangunan', 'ikn', 'adalah', 'para', 'elit', 'politik', 'yang', 'berkepentingan', 'tapi', 'semoga', 'saja', 'warga', 'dayak', 'terus', 'mengawal', 'pembangunan', 'ikn', 'ini', 'dan', 'nantinya', 'warga', 'dayak', 'dan', 'indonesia', 'akan', 'maju', 'secara', 'utuh']","['', '', 'menghambat', 'pembangunan', 'ikn', '', '', 'elit', 'politik', '', 'berkepentingan', '', 'semoga', '', 'warga', 'dayak', 'terus', 'mengawal', 'pembangunan', 'ikn', '', '', 'nantinya', 'warga', 'dayak', '', 'indonesia', '', 'maju', '', 'utuh']","['', '', 'hambat', 'bangun', 'ikn', '', '', 'elit', 'politik', '', 'penting', '', 'moga', '', 'warga', 'dayak', 'terus', 'awal', 'bangun', 'ikn', '', '', 'nanti', 'warga', 'dayak', '', 'indonesia', '', 'maju', '', 'utuh']","['hambat', 'bangun', 'ikn', 'elit', 'politik', 'penting', 'moga', 'warga', 'dayak', 'terus', 'awal', 'bangun', 'ikn', 'nanti', 'warga', 'dayak', 'indonesia', 'maju', 'utuh']"
7,10,Ada masjid....!<br>Ada gedung gereja nggak..?<br>Ada vihara nggak ..?<br>Ada pura nggak..?<br>Ada klenteng nggak...?<br>Dll..,Negatif,ada masjid....!<br>ada gedung gereja nggak..?<br>ada vihara nggak ..?<br>ada pura nggak..?<br>ada klenteng nggak...?<br>dll..,ada masjid     ada gedung gereja nggak   ada vihara nggak    ada pura nggak   ada klenteng nggak    dll,ada masjid ada gedung gereja tidak ada vihara tidak ada pura tidak ada klenteng tidak dan lain-lain,"['ada', 'masjid', 'ada', 'gedung', 'gereja', 'tidak', 'ada', 'vihara', 'tidak', 'ada', 'pura', 'tidak', 'ada', 'klenteng', 'tidak', 'dan', 'lain-lain']","['', 'masjid', '', 'gedung', 'gereja', '', '', 'vihara', '', '', 'pura', '', '', 'klenteng', '', '', 'lain-lain']","['', 'masjid', '', 'gedung', 'gereja', '', '', 'vihara', '', '', 'pura', '', '', 'klenteng', '', '', 'lain']","['masjid', 'gedung', 'gereja', 'vihara', 'pura', 'klenteng', 'lain']"
8,11,Utk nanti jika ikn ini sdh jadi saya minta tlg buatkan jln yg ada nama Bpk jokowi (jln jokowi) pasar(pasar jokowi) tempat(pantai jokowi) stadion. Jokowi dan nama Bpk jokowi utk kenangan kelak anakanak cucu kita agar kelak bila bisa jadi presiden RI suoaya bisa mengenang teori kerja Bpk jokowi utk kemajuan bangsa Indonesia tanpa ada embelembel korupsi insya Alloh Indonesia maju jaya terus amin,Positif,utk nanti jika ikn ini sdh jadi saya minta tlg buatkan jln yg ada nama bpk jokowi (jln jokowi) pasar(pasar jokowi) tempat(pantai jokowi) stadion. jokowi dan nama bpk jokowi utk kenangan kelak anakanak cucu kita agar kelak bila bisa jadi presiden ri suoaya bisa mengenang teori kerja bpk jokowi utk kemajuan bangsa indonesia tanpa ada embelembel korupsi insya alloh indonesia maju jaya terus amin,utk nanti jika ikn ini sdh jadi saya minta tlg buatkan jln yg ada nama bpk jokowi jln jokowi pasarpasar jokowi tempatpantai jokowi stadion  jokowi dan nama bpk jokowi utk kenangan kelak anakanak cucu kita agar kelak bila bisa jadi presiden ri suoaya bisa mengenang teori kerja bpk jokowi utk kemajuan bangsa indonesia tanpa ada embelembel korupsi insya alloh indonesia maju jaya terus amin,untuk nanti jika ikn ini sudah jadi saya minta tolong buatkan jalan yang ada nama bapak jokowi jalan jokowi pasarpasar jokowi tempatpantai jokowi stadion jokowi dan nama bapak jokowi untuk kenangan kelak anakanak cucu kita agar kelak bila bisa jadi presiden ri suoaya bisa mengenang teori kerja bapak jokowi untuk kemajuan bangsa indonesia tanpa ada embelembel korupsi insyaa allah indonesia maju jaya terus aamiin,"['untuk', 'nanti', 'jika', 'ikn', 'ini', 'sudah', 'jadi', 'saya', 'minta', 'tolong', 'buatkan', 'jalan', 'yang', 'ada', 'nama', 'bapak', 'jokowi', 'jalan', 'jokowi', 'pasarpasar', 'jokowi', 'tempatpantai', 'jokowi', 'stadion', 'jokowi', 'dan', 'nama', 'bapak', 'jokowi', 'untuk', 'kenangan', 'kelak', 'anakanak', 'cucu', 'kita', 'agar', 'kelak', 'bila', 'bisa', 'jadi', 'presiden', 'ri', 'suoaya', 'bisa', 'mengenang', 'teori', 'kerja', 'bapak', 'jokowi', 'untuk', 'kemajuan', 'bangsa', 'indonesia', 'tanpa', 'ada', 'embelembel', 'korupsi', 'insyaa', 'allah', 'indonesia', 'maju', 'jaya', 'terus', 'aamiin']","['', '', '', 'ikn', '', '', 'jadi', '', 'minta', '', 'buatkan', 'jalan', '', '', 'nama', 'bapak', 'jokowi', 'jalan', 'jokowi', 'pasarpasar', 'jokowi', 'tempatpantai', 'jokowi', 'stadion', 'jokowi', '', 'nama', 'bapak', 'jokowi', '', 'kenangan', 'kelak', 'anakanak', 'cucu', '', '', 'kelak', 'bila', '', 'jadi', 'presiden', 'ri', 'suoaya', '', 'mengenang', 'teori', 'kerja', 'bapak', 'jokowi', '', 'kemajuan', 'bangsa', 'indonesia', '', '', 'embelembel', 'korupsi', 'insyaa', 'allah', 'indonesia', 'maju', 'jaya', 'terus', 'aamiin']","['', '', '', 'ikn', '', '', 'jadi', '', 'minta', '', 'buat', 'jalan', '', '', 'nama', 'bapak', 'jokowi', 'jalan', 'jokowi', 'pasarpasar', 'jokowi', 'tempatpantai', 'jokowi', 'stadion', 'jokowi', '', 'nama', 'bapak', 'jokowi', '', 'kenang', 'kelak', 'anakanak', 'cucu', '', '', 'kelak', 'bila', '', 'jadi', 'presiden', 'ri', 'suoaya', '', 'kenang', 'teori', 'kerja', 'bapak', 'jokowi', '', 'maju', 'bangsa', 'indonesia', '', '', 'embelembel', 'korupsi', 'insyaa', 'allah', 'indonesia', 'maju', 'jaya', 'terus', 'aamiin']","['ikn', 'jadi', 'minta', 'buat', 'jalan', 'nama', 'bapak', 'jokowi', 'jalan', 'jokowi', 'pasarpasar', 'jokowi', 'tempatpantai', 'jokowi', 'stadion', 'jokowi', 'nama', 'bapak', 'jokowi', 'kenang', 'kelak', 'anakanak', 'cucu', 'kelak', 'bila', 'jadi', 'presiden', 'ri', 'suoaya', 'kenang', 'teori', 'kerja', 'bapak', 'jokowi', 'maju', 'bangsa', 'indonesia', 'embelembel', 'korupsi', 'insyaa', 'allah', 'indonesia', 'maju', 'jaya', 'terus', 'aamiin']"
9,12,Jgn sampai ada yg korup. . Biar dana yg terkucur tepat sasaran. .,Positif,jgn sampai ada yg korup. . biar dana yg terkucur tepat sasaran. .,jgn sampai ada yg korup    biar dana yg terkucur tepat sasaran,jangan sampai ada yang korupsi biar dana yang terkucur tepat sasaran,"['jangan', 'sampai', 'ada', 'yang', 'korupsi', 'biar', 'dana', 'yang', 'terkucur', 'tepat', 'sasaran']","['jangan', '', '', '', 'korupsi', 'biar', 'dana', '', 'terkucur', 'tepat', 'sasaran']","['jangan', '', '', '', 'korupsi', 'biar', 'dana', '', 'kucur', 'tepat', 'sasar']","['jangan', 'korupsi', 'biar', 'dana', 'kucur', 'tepat', 'sasar']"
